"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AFG","Afghanistan",0.310416756754025,0.310416053080614,0.311849331175518,0.313282772035481,0.311548872092888,0.30981481722354,0.316369683178432,0.322941273834628,0.327035652205209,0.322374397930714,0.269736972957388,0.236271841870518,0.230540779350847,0.224216465266977,0.224017397223901,0.22274156932951,0.213653597695626,0.228593648494969,0.230411542974858,0.246690734243825,0.246128003555513,0.257630630288327,0.248275740124001,0.242563801902449,0.250356608585772,0.239126606182841
"ALB","Albania",0.334173663088387,0.33467661849521,0.333101171157781,0.331038247710536,0.33186915168751,0.332472468028332,0.337593744210321,0.342930839773802,0.341435690388814,0.349108673226326,0.338321062143426,0.32510688451302,0.338208727494673,0.350865419738914,0.370780283371853,0.372037016896188,0.370952990638855,0.37902710588292,0.391757652665803,0.414294931971662,0.421307881522046,0.415363615444121,0.416355473351448,0.418535830262797,0.411084442906617,0.409452983371096
"DZA","Algeria",0.301432119731671,0.302461062733321,0.300809557889579,0.299456144212015,0.30244533356808,0.305595269430136,0.311317821778687,0.317378068000475,0.321894649387763,0.32913600336321,0.330775716388502,0.299016588120631,0.297834880460495,0.299765238806037,0.293580629052646,0.282920988836874,0.27765602478551,0.278184676292218,0.288889875619673,0.287796051553578,0.294079532402046,0.30355709271676,0.326563987193501,0.328683341530556,0.329328497776,0.33068109430508
"AND","Andorra",0.156763688444904,0.162035349978472,0.16785806893088,0.178800714548555,0.186168134469835,0.192225278910229,0.196487258978606,0.197854150087623,0.214121980745392,0.236267583822256,0.259210048728835,0.283740539605151,0.32014739789901,0.323544295224668,0.33957429229265,0.34675215196151,0.350825708284975,0.357281884854054,0.363767845076642,0.370368072606247,0.379928392878177,0.387946061700545,0.395355654713922,0.39990185677094,0.462315091744242,0.463988100167141
"AGO","Angola",0.191310506163938,0.191310111407619,0.184420346141574,0.177526144419505,0.17780819966436,0.178144211732258,0.190485184399782,0.202848896648295,0.217897526524435,0.219492097956681,0.210512274023982,0.188478941214719,0.191855467185947,0.198535904276051,0.205411641237699,0.191451651096014,0.189749276921211,0.203163950434753,0.211122039060671,0.214962275228276,0.211954560699676,0.24007636292289,0.243605945757666,0.254776117416407,0.256796410342124,0.262540372073311
"ATG","Antigua and Barbuda",0.455645789007708,0.456150018063629,0.457905937572625,0.459633418971072,0.460793302946895,0.462876754485332,0.463662416818217,0.466831275702024,0.470280611873212,0.470521231933093,0.483733093963528,0.462533635543434,0.465677915043295,0.473029687883539,0.475469600134784,0.485866386499721,0.47947720818775,0.487989212845509,0.481703837682609,0.456144656602472,0.464774406194783,0.457811432388321,0.437213696293572,0.447638146938863,0.447144491908705,0.445502844232243
"ARG","Argentina",0.382303847012116,0.385232582905781,0.381172899571575,0.378467097915902,0.378468003212653,0.379941415698292,0.352293202802299,0.332484959904137,0.343744935377499,0.346225156389428,0.369049383485508,0.345026181958796,0.357107772312582,0.349803125010079,0.346460600305266,0.354519027546656,0.357738631640315,0.351060433730828,0.340601269966225,0.334082828591236,0.337862744176495,0.371215018352183,0.377317390448948,0.379593091518071,0.378503766489922,0.382984241046119
"ARM","Armenia",0.379243997700077,0.375346692997499,0.36971265352191,0.38081295344228,0.385888392762392,0.387169058030561,0.394016912233828,0.41092747510079,0.425030117924813,0.413602143962837,0.433689381440378,0.416469933988624,0.424569370293976,0.444072571202293,0.433365256966563,0.435530245783949,0.435719973202626,0.44468236065863,0.460039771708871,0.475434025265403,0.48324424758058,0.49239430992447,0.490197034921506,0.499948872607477,0.511312276819275,0.507571569291164
"AUS","Australia",0.585476852841116,0.589281298887849,0.593284211988752,0.598600491314243,0.605609955546071,0.613740838708307,0.619060838997507,0.621551566838699,0.626263279711194,0.633978097925335,0.638387804817897,0.682027313139354,0.689885464337129,0.697861856334892,0.689532774173353,0.696525198757988,0.700245322422534,0.703670563302908,0.71417595182452,0.715714615803095,0.713459896196608,0.713804036153874,0.700585662068438,0.704858477414381,0.703126110998317,0.690156787839352
"AUT","Austria",0.604296016151892,0.610560612022847,0.613705290124176,0.616229625139076,0.620356779975661,0.624217284707832,0.632573257873626,0.639082224293496,0.636431863456941,0.641212476169546,0.650041462121341,0.680026731620503,0.691589745263375,0.689108263292127,0.672757649917159,0.680187735861924,0.681192103382053,0.685349949729772,0.699861013212402,0.712759628300178,0.710502898880311,0.695070749147971,0.698698714923597,0.698318645349317,0.693346340358764,0.68665626105961
